symbol_id,time_period_start,time_period_end,time_open,time_close,px_open,px_high,px_low,px_close,sx_cnt,sx_sum
COINBASE_SPOT_BTC_USD,2022-04-20 0:00:00,2022-04-20 0:01:00,2022-04-20 0:00:00,2022-04-20 0:01:00,41501.56,41511.57,41469.4,41480.25,993,12.3090863
COINBASE_SPOT_BTC_USD,2022-04-20 0:01:00,2022-04-20 0:02:00,2022-04-20 0:01:00,2022-04-20 0:01:58,41480.21,41493.87,41467.15,41467.15,259,4.31716429
COINBASE_SPOT_BTC_USD,2022-04-20 0:02:00,2022-04-20 0:03:00,2022-04-20 0:02:00,2022-04-20 0:03:00,41467.17,41468.57,41428.63,41437.57,312,5.39779845
COINBASE_SPOT_BTC_USD,2022-04-20 0:03:00,2022-04-20 0:04:00,2022-04-20 0:03:01,2022-04-20 0:03:59,41436.92,41474.24,41435.74,41447,297,3.68151845
COINBASE_SPOT_BTC_USD,2022-04-20 0:04:00,2022-04-20 0:05:00,2022-04-20 0:04:00,2022-04-20 0:05:00,41447.05,41456.62,41438.31,41456.62,208,3.33601959
COINBASE_SPOT_BTC_USD,2022-04-20 0:05:00,2022-04-20 0:06:00,2022-04-20 0:05:01,2022-04-20 0:06:00,41455.02,41480.9,41443.22,41464.19,293,2.73726955
COINBASE_SPOT_BTC_USD,2022-04-20 0:06:00,2022-04-20 0:07:00,2022-04-20 0:06:00,2022-04-20 0:07:00,41466.58,41479.46,41463.26,41472.44,230,1.97001377
COINBASE_SPOT_BTC_USD,2022-04-20 0:07:00,2022-04-20 0:08:00,2022-04-20 0:07:00,2022-04-20 0:07:59,41472.49,41481.48,41460,41468.89,333,3.69129237
COINBASE_SPOT_BTC_USD,2022-04-20 0:08:00,2022-04-20 0:09:00,2022-04-20 0:08:01,2022-04-20 0:09:00,41469.25,41492.81,41464.09,41480.32,285,3.32003966
COINBASE_SPOT_BTC_USD,2022-04-20 0:09:00,2022-04-20 0:10:00,2022-04-20 0:09:01,2022-04-20 0:10:00,41483.77,41493.97,41480.33,41487.66,215,1.67556111
COINBASE_SPOT_BTC_USD,2022-04-20 0:10:00,2022-04-20 0:11:00,2022-04-20 0:10:00,2022-04-20 0:11:00,41489.89,41526.27,41488.59,41521.86,320,5.11970016
COINBASE_SPOT_BTC_USD,2022-04-20 0:11:00,2022-04-20 0:12:00,2022-04-20 0:11:00,2022-04-20 0:11:59,41520.6,41530.61,41516.52,41528.79,238,0.58570079
COINBASE_SPOT_BTC_USD,2022-04-20 0:12:00,2022-04-20 0:13:00,2022-04-20 0:12:00,2022-04-20 0:13:00,41527.11,41537.71,41513.58,41514.67,313,6.24971419
COINBASE_SPOT_BTC_USD,2022-04-20 0:13:00,2022-04-20 0:14:00,2022-04-20 0:13:00,2022-04-20 0:14:00,41514.01,41558.45,41514.01,41554.85,585,56.30072436
COINBASE_SPOT_BTC_USD,2022-04-20 0:14:00,2022-04-20 0:15:00,2022-04-20 0:14:01,2022-04-20 0:15:00,41558.45,41561.86,41530.83,41542.74,513,16.56624407
COINBASE_SPOT_BTC_USD,2022-04-20 0:15:00,2022-04-20 0:16:00,2022-04-20 0:15:00,2022-04-20 0:16:00,41535.02,41542.24,41508,41521.9,337,4.33514972
COINBASE_SPOT_BTC_USD,2022-04-20 0:16:00,2022-04-20 0:17:00,2022-04-20 0:16:01,2022-04-20 0:16:59,41521.11,41530,41514.41,41520.38,384,2.93497971
COINBASE_SPOT_BTC_USD,2022-04-20 0:17:00,2022-04-20 0:18:00,2022-04-20 0:17:00,2022-04-20 0:18:00,41520.38,41520.38,41500,41504.44,275,3.29431424
COINBASE_SPOT_BTC_USD,2022-04-20 0:18:00,2022-04-20 0:19:00,2022-04-20 0:18:00,2022-04-20 0:19:00,41502.58,41521.43,41500,41513.86,291,3.14404151
COINBASE_SPOT_BTC_USD,2022-04-20 0:19:00,2022-04-20 0:20:00,2022-04-20 0:19:00,2022-04-20 0:19:59,41514.65,41520.92,41500,41500.09,235,2.78606073
COINBASE_SPOT_BTC_USD,2022-04-20 0:20:00,2022-04-20 0:21:00,2022-04-20 0:20:01,2022-04-20 0:20:59,41500.4,41507.66,41467.31,41472.15,291,1.78840874
COINBASE_SPOT_BTC_USD,2022-04-20 0:21:00,2022-04-20 0:22:00,2022-04-20 0:21:00,2022-04-20 0:22:00,41472.16,41472.42,41443.73,41443.74,241,2.13316187
COINBASE_SPOT_BTC_USD,2022-04-20 0:22:00,2022-04-20 0:23:00,2022-04-20 0:22:01,2022-04-20 0:23:00,41443.17,41443.17,41400,41411.19,396,7.51021745
COINBASE_SPOT_BTC_USD,2022-04-20 0:23:00,2022-04-20 0:24:00,2022-04-20 0:23:00,2022-04-20 0:24:00,41411.19,41411.23,41344.41,41366.22,535,11.98957977
COINBASE_SPOT_BTC_USD,2022-04-20 0:24:00,2022-04-20 0:25:00,2022-04-20 0:24:00,2022-04-20 0:25:00,41367.04,41402.15,41367.04,41397.1,387,3.27891922
COINBASE_SPOT_BTC_USD,2022-04-20 0:25:00,2022-04-20 0:26:00,2022-04-20 0:25:01,2022-04-20 0:26:00,41397.76,41397.76,41283.04,41295.79,522,8.87229076
COINBASE_SPOT_BTC_USD,2022-04-20 0:26:00,2022-04-20 0:27:00,2022-04-20 0:26:00,2022-04-20 0:27:00,41295.8,41330.56,41275.68,41276.3,319,2.28184384
COINBASE_SPOT_BTC_USD,2022-04-20 0:27:00,2022-04-20 0:28:00,2022-04-20 0:27:00,2022-04-20 0:28:00,41276.06,41333.66,41271.55,41327.76,412,13.81061011
COINBASE_SPOT_BTC_USD,2022-04-20 0:28:00,2022-04-20 0:29:00,2022-04-20 0:28:00,2022-04-20 0:29:00,41327.85,41332.66,41300.24,41302.2,281,4.66935374
COINBASE_SPOT_BTC_USD,2022-04-20 0:29:00,2022-04-20 0:30:00,2022-04-20 0:29:00,2022-04-20 0:30:00,41300.59,41302.57,41284.46,41289.68,448,9.08684431
COINBASE_SPOT_BTC_USD,2022-04-20 0:30:00,2022-04-20 0:31:00,2022-04-20 0:30:00,2022-04-20 0:30:59,41289.68,41343.2,41288.84,41333.6,322,4.29731157
COINBASE_SPOT_BTC_USD,2022-04-20 0:31:00,2022-04-20 0:32:00,2022-04-20 0:31:01,2022-04-20 0:32:00,41333.96,41377.86,41330.18,41377.86,247,4.139087
